GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504070023,0.470769048,0.730988258,0.689142443,0.422208297,-27030.09706,0.060300635
G24000504081001,0.605737678,0.781364073,0.632689134,0.618878309,38437.38223,0.014527067
G24000504081002,0.745692001,0.822798776,0.548997402,0.790880155,115724.0748,0.00335455
G24000504081003,0.219953684,0.832710659,0.553487929,0.653529923,33276.13448,0.0
G24000504081004,0.421672128,0.864560729,0.553118866,0.639789683,28846.0121,0.042333396
G24000504082001,0.904173355,0.825464061,0.643668958,0.920588493,-57168.13184,0.031859385
G24000504082002,0.700000122,0.689759789,0.679709017,0.679344843,-17263.70516,0.004976328
G24000504083021,0.965593125,0.780149662,0.674862152,0.994551188,-56082.44209,0.0
G24000504083022,0.551140634,0.846943019,0.596740766,0.761160031,33265.41328,0.0
G24000504083031,0.893276329,0.871311032,0.584329805,0.941897581,29188.97957,0.0
G24000504083032,0.756425361,0.829341801,0.634898217,0.807326349,8292.059442,0.0
G24000504083041,0.624184637,0.871883859,0.564497699,0.772544282,41231.0068,0.0
G24000504083042,0.886667921,0.822063041,0.63700655,0.903373956,105710.5324,0.003738131
G24000504083043,0.798947275,0.808495333,0.655705024,0.823453709,38300.36178,0.007365717
G24000504085021,0.635301949,0.684284725,0.808976081,0.712293823,80190.60124,0.0
G24000504085022,0.318939212,0.74404048,0.615263936,0.428251373,52235.74118,0.0
G24000504085023,0.488853967,0.743727402,0.580510165,0.575462915,36152.38637,0.0
G24000504085031,0.166163254,0.759761765,0.652595728,0.384836644,22235.32354,0.012802603
G24000504085032,0.21327717,0.665690207,0.84465548,0.306594715,47726.76398,0.0
G24000504085051,0.343447417,0.714569739,0.669877204,0.471618212,52468.0182,0.0
G24000504085052,0.259357525,0.670460536,0.821499223,0.371595809,22192.91674,0.068180711
G24000504085061,0.233007005,0.674090564,0.73768053,0.264141021,28589.72328,0.0
G24000504085062,0.262481333,0.794900246,0.552159943,0.54376426,2851.733198,0.0
G24000504085072,0.422987,0.729973268,0.552159943,0.521998562,44897.26148,0.0
