GISJOIN,AJWME001
G24000504049002,1185
G24000504049003,865
G24000504050001,2867
G24000504050002,1563
G24000504060001,1465
G24000504060002,1198
G24000504060003,1417
G24000504060004,1681
G24000504070011,1447
G24000504070012,1608
G24000504070021,2079
G24000504070022,2122
G24000504070023,1441
G24000504081001,1111
G24000504081002,753
G24000504081003,1911
G24000504081004,1894
G24000504082001,888
G24000504082002,975
G24000504083021,745
G24000504083022,2038
G24000504083031,1935
G24000504083032,1360
G24000504083041,3246
G24000504083042,1159
G24000504083043,821
G24000504084001,953
G24000504085021,2605
G24000504085022,1297
G24000504085023,1326
G24000504085031,1975
G24000504085032,1708
G24000504085051,2050
G24000504085052,1681
G24000504085061,2426
G24000504085062,2817
G24000504085071,2026
G24000504085072,2866
G24000504085073,2022
G24000504086011,1175
G24000504086012,777
G24000504086013,995
G24000504086014,1035
G24000504086021,1248
G24000504086022,853
G24000504087021,1715
G24000504087022,681
G24000504087031,1379
G24000504087032,2716
G24000504087033,897
G24000504087034,1589
G24000504087041,2215
G24000504087042,2183
G24000504087043,1314
G24000504088001,1168
G24000504088002,1327
G24000504089001,1358
G24000504089002,1297
G24000504101001,636
G24000504101002,808
G24000504101003,2239
G24000504101004,1909
G24000504102001,1697
G24000504102002,1797
G24000504102003,1404
G24000504111011,2178
G24000504111021,1030
G24000504111022,532
G24000504111023,1548
G24000504112011,961
G24000504112012,732
G24000504112013,672
G24000504112014,798
G24000504112021,1648
G24000504112022,1345
G24000504112023,958
G24000504113021,3804
G24000504113031,1987
G24000504113032,1271
G24000504113033,1928
G24000504113034,1108
G24000504113061,1233
G24000504113062,2517
G24000504113063,1467
G24000504113071,2003
G24000504113072,1770
G24000504113081,1130
G24000504113082,560
G24000504113083,1691
G24000504113091,2234
G24000504113092,3839
G24000504113093,2915
G24000504114041,2835
G24000504114042,761
G24000504114061,1542
G24000504114062,1362
G24000504114063,1215
G24000504114071,1288
G24000504114072,3558
G24000504114073,1589
G24000504114074,3384
G24000504114075,913
G24000504114081,1126
G24000504114082,1875
G24000504114083,685
G24000504114091,1079
G24000504114092,2166
G24000504114093,1866
G24000504114101,1064
G24000504114102,1496
G24000504114103,2075
G24000504201001,1607
G24000504201002,1210
G24000504201003,839
G24000504202001,1472
G24000504202002,1257
G24000504203011,2459
G24000504203021,1016
G24000504203022,1499
G24000504203031,1268
G24000504204011,1375
G24000504204012,3578
G24000504204013,591
G24000504204014,1043
G24000504204021,944
G24000504204022,968
G24000504205001,1847
G24000504205002,1643
G24000504206001,2652
G24000504206002,767
G24000504206003,1000
G24000504207011,3200
G24000504207021,1975
G24000504208001,820
G24000504208002,1070
G24000504208003,1126
G24000504209001,1640
G24000504209002,885
G24000504209003,944
G24000504210001,1814
G24000504211011,1592
G24000504211012,1354
G24000504211021,1541
G24000504211022,1056
G24000504212001,893
G24000504212002,797
G24000504213001,938
G24000504213002,1032
G24000504213003,1211
G24000504301011,2893
G24000504301012,2091
G24000504301041,1314
G24000504301042,1661
G24000504302001,733
G24000504302002,1206
G24000504302003,714
G24000504303001,1515
G24000504303002,1643
G24000504303003,830
G24000504303004,1930
G24000504304001,1322
G24000504304002,1316
G24000504304003,1650
G24000504306001,1573
G24000504306002,771
G24000504307001,918
G24000504307002,2459
G24000504307003,1922
G24000504308001,1063
G24000504308002,835
G24000504308003,1578
G24000504309001,2429
G24000504309002,1225
G24000504309003,1198
G24000504401001,1367
G24000504401002,1360
G24000504401003,780
G24000504401004,1044
G24000504402001,941
G24000504402002,1473
G24000504403001,1976
G24000504404001,1880
G24000504404002,622
G24000504404003,1540
G24000504404004,1320
G24000504405001,2595
G24000504405002,749
G24000504406001,2259
G24000504407011,2224
G24000504407012,3737
G24000504407013,1470
G24000504407021,2524
G24000504407022,1859
G24000504408001,3320
G24000504409001,1803
G24000504409002,2101
G24000504410001,1815
G24000504410002,1990
G24000504411011,1302
G24000504411012,793
G24000504411021,1077
G24000504411022,1060
G24000504411023,772
G24000504411024,1974
G24000504501001,1867
G24000504501002,1057
G24000504501003,922
G24000504502001,1490
G24000504502002,772
G24000504502003,948
G24000504503001,2028
G24000504503002,1134
G24000504504001,668
G24000504504002,1644
G24000504505011,1442
G24000504505012,1650
G24000504505013,1190
G24000504505031,823
G24000504505032,3103
G24000504505033,2456
G24000504505041,529
G24000504505042,2813
G24000504505043,2476
G24000504508001,732
G24000504508002,2861
G24000504508003,510
G24000504509001,1315
G24000504509002,2851
G24000504510001,948
G24000504510002,688
G24000504511001,2285
G24000504512001,1753
G24000504512002,2060
G24000504513001,2897
G24000504513002,1092
G24000504514011,2081
G24000504514012,1798
G24000504514021,1249
G24000504514022,1076
G24000504514023,2800
G24000504515001,1482
G24000504515002,1186
G24000504515003,1260
G24000504516001,674
G24000504516002,1311
G24000504517011,2496
