GISJOIN,Shape_Area,fld_area,perc_fld_area
G24000504901003,3336455.52736,15071.200195299998,0.0045171290525862
G24000504902001,958381.671927,37188.6992188,0.0388036419185953
G24000504903021,753239.08056,6251.9301758,0.0083000608135626
G24000504904001,2531865.5279700006,313900.08535009995,0.1239797619116757
G24000504904002,3514595.06258,214319.9759521,0.0609799911898731
G24000504905002,2794061.07487,96551.1992188,0.0345558656849661
G24000504905003,2580559.85943,67753.89965830001,0.0262555039793828
G24000504906051,1700863.7066800003,7189.1801758,0.0042267820446547
G24000504907011,1310031.8761900002,8083.009765600001,0.0061700863257679
G24000504910001,716173.54681,19035.3007813,0.0265791732549848
G24000504911001,364285.591319,4367.4101563,0.0119889731034558
G24000504913001,1350823.99064,40573.8984375,0.0300364064590507
G24000504914013,597958.8160320001,8165.299804699999,0.0136552879325104
G24000504914021,695363.896802,4257.350097699999,0.00612247791017
G24000504917012,582725.547797,7638.370117199999,0.0131080062408057
G24000504920012,355697.164456,29988.5,0.0843090780491999
G24000504920021,394501.645341,7750.549804699999,0.0196464321409878
G24000504920022,401686.721835,20520.9003906,0.0510868278066441
G24000504921022,633556.0477609999,70555.296875,0.1113639387144103
G24000504922001,1603706.12222,597.117981,0.0003723362857612
G24000504922002,752465.372712,19529.0,0.0259533537465179
G24000504923002,938503.621418,23357.8007813,0.0248883437935043
G24000504924021,2184303.00018,13262.5,0.0060717308903147
G24000504924022,1018913.5903000002,63622.6015625,0.0624416065976384
G24000504925001,1839395.61925,9845.4205856,0.0053525301912018
G24000504926001,1926752.9759400005,18934.6401367,0.009827227658731
G24000504926002,1326032.06878,55523.6694641,0.0418720412359136
G24000504926003,1072455.9726599995,19562.1992188,0.0182405615871392
G24000509800001,12748181.661499994,401324.298828,0.0314809052368633
G24000509801001,1747779.65826,706008.7402344,0.4039460791855572
G24000509802001,2348982.64968,800421.4213867,0.3407523769899879
G24001305052061,20966957.0142,231.5950012,1.104571355028538e-05
G24002503013012,4774673.131960001,31.4727993,6.591613379632635e-06
G24002503014014,2053159.4762899997,33231.4715366,0.0161855286549139
G24002503042011,21855042.138199996,28031.199218799997,0.0012825964389153
G24002503042012,16619581.7612,3858.9000244,0.000232189960003
G24002503042015,9115785.418379998,4937.3798828,0.0005416296738232
G24002706011041,9946728.209050002,2579.2101765,0.000259302367803
G24002706012013,2191699.5938800005,1430.8150024,0.0006528335390467
G24002706012014,2151632.66267,13322.0,0.00619157732225
G24002706027001,3474420.91723,10239.7998047,0.0029471961079671
G24051000101003,172430.699452,5314.4599609,0.0308208455790634
G24051000104002,216264.91620899996,22454.559692500003,0.1038289524076099
G24051000203001,129163.44786700002,7986.8598633,0.0618352946998139
G24051000203002,357100.673849,65174.0804443,0.1825089819680902
G24051000203003,176510.48505699993,64625.476470999994,0.3661282583305502
G24051000302001,274261.404455,41112.6852112,0.1499032840326085
G24051000302002,233748.508196,30010.2557984,0.128386940434444
G24051000401001,814875.857417,276867.0,0.3397658643092154
G24051000801011,1973172.4544599997,107617.0,0.0545400883520095
G24051000902001,1486065.74057,33038.30078129999,0.0222320587032897
G24051001001002,126799.67578099998,20950.4003906,0.1652244003114341
G24051001003001,156308.913715,42740.3007813,0.273434827006916
G24051001101001,133953.782641,6395.169921899999,0.0477416150243344
G24051001101002,179967.41481900003,40323.1992188,0.2240583344454581
G24051001102001,410356.31838599994,14747.900390600002,0.035939255056693
G24051001201002,207743.06000799997,22176.3864746,0.1067491086043789
G24051001202021,674398.87298,17121.599609399997,0.0253879422036159
G24051001205001,262995.365565,88834.3027344,0.3377789663462506
G24051001205002,271554.4775,62981.19921880001,0.2319284137703088
G24051001207001,221487.598902,4419.6298828,0.0199542994944629
G24051001207003,706446.23102,98107.7525578,0.1388750456154992
G24051001304001,2624184.507840001,3655.8701172,0.0013931452252224
G24051001306001,447618.7368240002,45252.597929,0.1010962996099802
G24051001306002,163771.96061699998,10476.7001953,0.0639712692931667
G24051001306004,173560.14450499995,0.0496196999999999,2.858934010542411e-07
G24051001307003,172021.37266299996,9884.1796875,0.0574590211349126
G24051001308031,324590.567429,56741.0637181,0.1748081103142696
G24051001308041,295251.4919449999,59260.2827759,0.2007112051678951
G24051001308042,442728.9323660001,88126.511879,0.1990529767459304
G24051001308051,1638720.17499,106957.7415696,0.0652690698521806
G24051001308061,1407180.2650999995,180154.805724,0.1280253924760645
G24051001507011,797247.271454,13779.617098700002,0.0172839940531487
G24051001509004,836051.36838,112265.4939073,0.1342806173798083
G24051001606005,83976.4562706,9393.2142843,0.1118553306659184
G24051001607004,421718.063172,129876.46960450002,0.3079698996709306
G24051001608023,1016657.39758,86926.87302010001,0.0855026218537497
G24051002002005,539061.6671210001,1035.6856283,0.0019212748586471
G24051002005004,291798.849416,3733.0980528,0.0127933953827143
G24051002006001,1300533.3778299997,244062.1889613,0.1876631489216594
G24051002006002,406720.647573,23020.9437232,0.0566013647464703
G24051002008001,730703.132569,38991.2780762,0.0533613123281883
G24051002101001,1038188.5964100002,190260.2807922,0.1832617709827576
G24051002102001,2029342.49078,368314.313263,0.1814944076400994
G24051002201002,375309.317473,25235.0898438,0.0672381117892588
G24051002201003,248875.68944700004,161027.4436035,0.6470195781729497
G24051002303001,1216166.3570000003,89965.0305176,0.0739742799163782
G24051002401001,1045254.1480400002,97244.7638857,0.0930345639556157
G24051002401002,836991.4887459998,56495.0120636,0.0674977139232827
G24051002402001,302478.339618,28584.5593263,0.0945011777120948
G24051002404002,886987.493761,50505.63775640001,0.0569406424686398
G24051002501011,224245.248324,31228.800781299997,0.1392618172055051
G24051002501012,738541.3820350001,41659.5996094,0.0564079422260805
G24051002501021,430793.085173,96520.6928865,0.2240534869489345
G24051002501031,470357.238013,13956.4995117,0.0296721265960709
G24051002501034,937021.65314,44808.21478269999,0.0478198285306916
G24051002502031,751801.9580239999,34988.91015620001,0.0465400625560528
G24051002502051,1256005.78474,25037.5123597,0.019934233316356
G24051002502061,1279527.96724,61929.2259025,0.0484000564958999
G24051002502071,678386.493814,18073.7340087,0.0266422373875495
G24051002503011,1149500.1355200002,213179.4554594,0.1854540498709588
G24051002503012,756704.094062,185583.5976563,0.2452525354529063
G24051002503031,683488.8394129999,209262.9086914,0.3061687281845319
G24051002503033,228506.244288,8465.5555781,0.0370473708693507
G24051002504011,537174.0622560001,7752.751220699999,0.0144324749935622
G24051002504013,405029.369989,32175.9110565,0.0794409330300512
G24051002505001,4888569.648139999,137462.5691833,0.0281191798577732
G24051002505002,2428966.34132,82060.0138886,0.0337839238414498
G24051002506001,5710808.141680001,502259.9598085998,0.0879490165573738
G24051002601021,259166.836268,769.7880249,0.0029702412391374
G24051002601022,182576.532335,29353.600586,0.1607742255293831
G24051002601023,268398.183548,31887.0800782,0.1188051262369939
G24051002602014,593045.8187459998,38864.150244,0.0655331325430783
G24051002602023,320979.610635,61817.1015625,0.1925888732938708
G24051002602024,200690.822947,19169.1992188,0.0955160726201334
G24051002602031,543841.8121600001,55245.3146896,0.101583426383087
G24051002602032,346839.301035,21013.4501953,0.0605855510969891
G24051002603011,120062.478744,9563.2900391,0.0796526120328655
G24051002603012,143098.854401,19604.0,0.1369962050504228
G24051002603021,159047.180774,61286.80078130001,0.3853372344171646
G24051002603031,1218969.70376,130667.0,0.1071946247695477
G24051002604011,463148.467961,46750.9892579,0.1009416903908159
G24051002604021,461906.229819,68327.00122070001,0.147923965536196
G24051002604022,876593.3552540003,132931.1820041,0.1516452083595615
G24051002604031,380105.827428,61960.9003907,0.1630096039567735
G24051002604032,1326782.6795400002,124278.6321393,0.0936691698314812
G24051002604041,1963564.4135700013,155816.59327389998,0.0793539504979142
G24051002606054,445432.5514060001,11249.613388,0.025255481110419
G24051002606055,139958.179436,7740.2099609,0.0553037342446958
G24051002606056,8457467.196089994,371266.6006848,0.0438980834423385
G24051002701012,708674.029361,69335.8984375,0.097838915446103
G24051002702002,465884.529109,40381.1015625,0.0866762020188317
G24051002703013,291342.347436,13199.2001953,0.0453047773914827
G24051002703014,412018.45051000005,26846.400390599996,0.0651582480283814
