GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504007011022,51,170500,1311.45098,69,2,1.803921569,0,0.100922106,0.632557261,0.6563147,-0.802630034,1,35599.75377
G24000504007011023,56,2.00E+05,1304.642857,62.96428571,2,1.732142857,0,0.09984706,0.669073936,0.6563147,-0.820252352,1,65280.19798
G24000504007011025,30,199500,1256.933333,67,2,1.566666667,0,0.092313427,0.644657461,0.6563147,-0.860878244,1,81521.97022
G24000504007012004,205,163790,1375.62439,36.63414634,1.907317073,2.029268293,0,0.111055489,0.828373912,0.688168459,-0.747305389,1,-16203.39654
G24000504007012007,58,134100,1329.310345,26.79310345,2,2.206896552,0,0.103742211,0.887913205,0.6563147,-0.703696056,1,-56628.26856
G24000504007012030,33,139900,1125.30303,77,1.363636364,1.303030303,0,0.071528177,0.584156462,0.875023527,-0.925603339,1,40261.13078
G24000504007021007,31,83500,1324.354839,82.4516129,1.983870968,1.612903226,0,0.102959706,0.551173658,0.661858011,-0.849526753,1,-32199.72211
G24000504007021009,54,87000,1202.962963,80.75925926,2,1.444444444,0,0.083791168,0.561412567,0.6563147,-0.890884897,1,-8854.726578
G24000504007021012,30,124092,1252.666667,81.8,1.933333333,1.666666667,0,0.091639694,0.555115982,0.679227053,-0.836327345,1,10203.34052
G24000504007021018,92,178700,1585.445652,91.55434783,1.842391304,1.760869565,0,0.144187582,0.496101202,0.710482492,-0.813199688,1,33775.54827
G24000504007021019,37,168000,1399.864865,67.72972973,1.472972973,1.675675676,0,0.114883212,0.640242524,0.837446142,-0.834115553,1,17884.01691
G24000504007021022,58,152450,1366.689655,91.13793103,1.672413793,1.689655172,0,0.109644639,0.498620565,0.768901264,-0.830683461,1,27097.46748
G24000504007021023,87,178000,1477.218391,92.33333333,1.724137931,1.574712644,0,0.127097819,0.491388262,0.751124438,-0.858902884,1,51141.84106
G24000504007021024,46,119500,1643.26087,87.17391304,1.77173913,1.782608696,0,0.153316967,0.522603271,0.734764605,-0.807862536,1,-37035.51879
G24000504007021025,45,170000,1502.688889,75.06666667,1.677777778,1.755555556,0,0.13111977,0.595853322,0.767057741,-0.814504325,1,16551.4309
G24000504007021034,87,188445,1667.057471,43.96551724,1.902298851,1.988505747,0,0.1570746,0.784018385,0.689893149,-0.75731296,1,-10785.6971
G24000504007021035,30,115500,1301.333333,80,2,1.966666667,0,0.099324466,0.566006162,0.6563147,-0.762674651,1,-19453.50206
G24000504007021036,76,172750,1294.736842,80.56578947,2,1.973684211,0,0.098282838,0.562583079,0.6563147,-0.760951781,1,38430.36699
G24000504008001002,54,150000,1308.37037,73.09259259,1.342592593,1.537037037,0,0.100435658,0.607796667,0.882255962,-0.868152584,1,16834.53466
G24000504008001013,40,210450,1259.5,57.95,1.2625,1.525,0,0.09271872,0.699410866,0.909782609,-0.871107784,1,69158.66667
G24000504008001021,49,78000,1332.081633,105.877551,1.887755102,1.836734694,0,0.104179815,0.409444391,0.694891621,-0.794574117,1,-36021.87702
G24000504008001022,32,119500,1511.125,71.1875,1.90625,1.4375,0,0.132451885,0.619322668,0.688535197,-0.89258982,1,-13884.21958
G24000504008001023,43,145000,1262,66.76744186,1.709302326,1.651162791,0,0.093113486,0.646064461,0.756223217,-0.840133686,1,14249.56053
G24000504008001026,41,119900,1146,68.41463415,2,1.268292683,0,0.074796359,0.636098783,0.6563147,-0.934131737,1,30038.38598
G24000504008002007,50,190750,1789.1,79.34,1.89,1.7,0,0.17634588,0.569999228,0.694120083,-0.828143713,1,22587.20724
G24000504008002010,30,224500,1530.933333,79.2,1.8,1.566666667,0,0.135579745,0.570846242,0.72505176,-0.860878244,1,85279.86704
G24000504008002011,34,216250,1804.264706,67,2,1.5,0,0.178740482,0.644657461,0.6563147,-0.877245509,1,51565.43009
G24000504008002016,36,174950,1353.944444,82.52777778,1.875,1.444444444,0,0.10763209,0.550712853,0.699275362,-0.890884897,1,63324.48055
