STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,510,090200,2001,245100902002001,Block 2001,G5040,U,04843,U,S,4151,0,+39.3371692,-076.5887358,G24051000902002001,4151.43162759,277.843436626
24,510,090700,2007,245100907002007,Block 2007,G5040,U,04843,U,S,7050,0,+39.3208744,-076.5929959,G24051000907002007,7050.01990175,433.143139155
24,510,090200,2007,245100902002007,Block 2007,G5040,U,04843,U,S,5156,0,+39.3362339,-076.5928857,G24051000902002007,5155.74774842,336.659856214
24,510,090700,1010,245100907001010,Block 1010,G5040,U,04843,U,S,3304,0,+39.3217984,-076.5913889,G24051000907001010,3304.14593628,357.366146438
24,510,150400,3001,245101504003001,Block 3001,G5040,U,04843,U,S,1302,0,+39.3152439,-076.6538440,G24051001504003001,1302.06440543,145.309406356
24,510,150400,1016,245101504001016,Block 1016,G5040,U,04843,U,S,10762,0,+39.3122419,-076.6491878,G24051001504001016,10761.6901119,440.886898277
24,510,150500,2021,245101505002021,Block 2021,G5040,U,04843,U,S,2544,0,+39.3193069,-076.6580805,G24051001505002021,2543.63531922,217.549011604
24,510,090300,2001,245100903002001,Block 2001,G5040,U,04843,U,S,7359,0,+39.3299461,-076.5969038,G24051000903002001,7358.77168691,427.400912692
24,510,090300,2015,245100903002015,Block 2015,G5040,U,04843,U,S,7906,0,+39.3295449,-076.5969079,G24051000903002015,7906.33976592,431.44843992
24,510,090300,1008,245100903001008,Block 1008,G5040,U,04843,U,S,4364,0,+39.3335341,-076.5990497,G24051000903001008,4364.24796475,301.062227827
24,510,090800,1019,245100908001019,Block 1019,G5040,U,04843,U,S,3136,0,+39.3170763,-076.6025571,G24051000908001019,3136.30789808,246.306830676
24,510,280403,3001,245102804033001,Block 3001,G5040,U,04843,U,S,885,0,+39.2881033,-076.7104458,G24051002804033001,885.614857168,161.857615775
24,510,280401,4018,245102804014018,Block 4018,G5040,U,04843,U,S,8268,0,+39.2944616,-076.7071017,G24051002804014018,8268.24481947,451.331354868
24,510,280403,5005,245102804035005,Block 5005,G5040,U,04843,U,S,1406,0,+39.2923278,-076.7025194,G24051002804035005,1406.41701405,227.048777426
