GISJOIN,perc_fld_area
G24000504008001006,0.001731075
G24000504008001012,0.001731075
G24000504008001028,0.001731075
G24000504008001027,0.001731075
G24000504008001023,0.001731075
G24000504008001004,0.001731075
G24000504008001020,0.001731075
G24000504008001034,0.001731075
G24000504008001003,0.001731075
G24000504008001022,0.001731075
G24000504008001031,0.001731075
G24000504008001017,0.001731075
G24000504008001000,0.001731075
G24000504008002001,0.007830238
G24000504008002017,0.007830238
G24000504008002019,0.007830238
G24000504008002015,0.007830238
G24000504008002006,0.007830238
G24000504008002003,0.007830238
G24000504008002018,0.007830238
G24000504008002012,0.007830238
G24000504008002007,0.007830238
G24000504008002004,0.007830238
G24000504008002000,0.007830238
G24000504008002013,0.007830238
G24000504008002010,0.007830238
G24000504008002002,0.007830238
G24000504008002005,0.007830238
G24000504008002009,0.007830238
G24000504008002014,0.007830238
G24000504008002008,0.007830238
G24000504008002011,0.007830238
G24000504008002016,0.007830238
G24000504010002018,0.008416568
G24000504010002011,0.008416568
G24000504010002006,0.008416568
G24000504010002003,0.008416568
G24000504010002008,0.008416568
G24000504010002014,0.008416568
G24000504010002007,0.008416568
G24000504010002017,0.008416568
G24000504010002013,0.008416568
G24000504010002004,0.008416568
G24000504010002005,0.008416568
G24000504010002009,0.008416568
G24000504010002019,0.008416568
G24000504010002001,0.008416568
G24000504010002002,0.008416568
G24000504010002010,0.008416568
G24000504010002000,0.008416568
G24000504010002015,0.008416568
G24000504010002016,0.008416568
G24000504010002012,0.008416568
G24000504011011006,0.011752332
G24000504011011013,0.011752332
G24000504011011001,0.011752332
G24000504011011004,0.011752332
G24000504011011010,0.011752332
G24000504011011008,0.011752332
G24000504011011000,0.011752332
G24000504011011009,0.011752332
G24000504011011003,0.011752332
G24000504011011005,0.011752332
G24000504011011007,0.011752332
G24000504011011014,0.011752332
G24000504011011012,0.011752332
G24000504011011011,0.011752332
G24000504011011002,0.011752332
G24000504011013004,0.019041689
G24000504011013014,0.019041689
G24000504011013020,0.019041689
G24000504011013017,0.019041689
G24000504011013032,0.019041689
G24000504011013033,0.019041689
G24000504011013025,0.019041689
G24000504011013027,0.019041689
G24000504011013005,0.019041689
G24000504011013018,0.019041689
G24000504011013012,0.019041689
G24000504011013003,0.019041689
G24000504011013028,0.019041689
G24000504011013009,0.019041689
G24000504011013031,0.019041689
G24000504011013021,0.019041689
G24000504011013008,0.019041689
G24000504011013015,0.019041689
G24000504011013002,0.019041689
G24000504011013022,0.019041689
G24000504011013026,0.019041689
G24000504011013029,0.019041689
G24000504011013024,0.019041689
G24000504011013010,0.019041689
G24000504011013023,0.019041689
G24000504011013000,0.019041689
G24000504011013034,0.019041689
G24000504011013006,0.019041689
G24000504011013030,0.019041689
G24000504011013035,0.019041689
G24000504011013013,0.019041689
G24000504011013007,0.019041689
G24000504011013016,0.019041689
G24000504011013019,0.019041689
G24000504011013001,0.019041689
G24000504011013011,0.019041689
G24000504011014010,0.005420958
G24000504011014005,0.005420958
G24000504011014001,0.005420958
G24000504011014003,0.005420958
G24000504011014000,0.005420958
G24000504011014009,0.005420958
G24000504011014007,0.005420958
G24000504011014004,0.005420958
G24000504011014008,0.005420958
G24000504011014011,0.005420958
G24000504011014012,0.005420958
G24000504011014002,0.005420958
G24000504011014006,0.005420958
G24000504011021038,0.1333305
G24000504011021068,0.1333305
G24000504011021056,0.1333305
G24000504011021031,0.1333305
G24000504011021016,0.1333305
G24000504011021015,0.1333305
G24000504011021079,0.1333305
G24000504011021048,0.1333305
G24000504011021081,0.1333305
G24000504011021062,0.1333305
G24000504011021065,0.1333305
G24000504011021001,0.1333305
G24000504011021084,0.1333305
G24000504011021010,0.1333305
G24000504011021033,0.1333305
G24000504011021003,0.1333305
G24000504011021037,0.1333305
G24000504011021043,0.1333305
G24000504011021021,0.1333305
G24000504011021051,0.1333305
G24000504011021073,0.1333305
G24000504011021014,0.1333305
G24000504011021027,0.1333305
G24000504011021047,0.1333305
G24000504011021074,0.1333305
G24000504011021002,0.1333305
G24000504011021023,0.1333305
G24000504011021030,0.1333305
G24000504011021004,0.1333305
G24000504011021040,0.1333305
G24000504011021028,0.1333305
G24000504011021070,0.1333305
G24000504011021020,0.1333305
G24000504011021077,0.1333305
G24000504011021072,0.1333305
G24000504011021009,0.1333305
G24000504011021041,0.1333305
G24000504011021035,0.1333305
G24000504011021063,0.1333305
G24000504011021060,0.1333305
G24000504011021067,0.1333305
G24000504011021036,0.1333305
G24000504011021034,0.1333305
G24000504011021064,0.1333305
G24000504011021059,0.1333305
G24000504011021017,0.1333305
G24000504011021018,0.1333305
G24000504011021061,0.1333305
G24000504011021069,0.1333305
G24000504011021022,0.1333305
G24000504011021083,0.1333305
G24000504011021008,0.1333305
G24000504011021012,0.1333305
G24000504011021052,0.1333305
G24000504011021053,0.1333305
G24000504011021044,0.1333305
G24000504011021019,0.1333305
G24000504011021046,0.1333305
G24000504011021075,0.1333305
G24000504011021000,0.1333305
G24000504011021049,0.1333305
G24000504011021006,0.1333305
G24000504011021078,0.1333305
G24000504011021045,0.1333305
G24000504011021007,0.1333305
G24000504011021013,0.1333305
G24000504011021050,0.1333305
G24000504011021029,0.1333305
G24000504011021032,0.1333305
