GISJOIN,Shape_Area,fld_area,perc_fld_area
G24000504007021037,444.3948581,0,0
G24000504008001001,3567.768247,0,0
G24000504008001002,15956.77423,0,0
G24000504008001003,127.899051,0,0
G24000504008001004,2392.695388,0,0
G24000504008001005,2217.098013,0,0
G24000504008001006,2803.697596,0,0
G24000504008001008,2165.761495,0,0
G24000504008001009,1802.088136,0,0
G24000504008001010,2262.806708,0,0
G24000504008001011,2014.922868,0,0
G24000504008001012,1519.853917,0,0
G24000504008001013,6863.063752,0,0
G24000504008001014,648.6674876,0,0
G24000504008001015,526.7455935,0,0
G24000504008001016,2341.626326,0,0
G24000504008001017,2797.010541,0,0
G24000504008001018,1876.739123,0,0
G24000504008001020,4616.684276,0,0
G24000504008001021,6114.408793,0,0
G24000504008001022,5921.325951,0,0
G24000504008001023,7852.295707,0,0
G24000504008001024,295.6797749,0,0
G24000504008001025,2502.27365,0,0
G24000504008001026,1235.252565,0,0
G24000504008001027,1366.118902,0,0
G24000504008001028,970.3164322,0,0
G24000504008001029,1459.01469,0,0
G24000504008001030,1350.158252,0,0
G24000504008001031,1730.187956,0,0
G24000504008001032,736.5489882,0,0
G24000504008001033,930.6735214,0,0
G24000504008001034,121.8597175,0,0
G24000504008001035,833.9622195,0,0
G24000504008002000,3055.272429,0,0
G24000504008002001,7539.609609,0,0
G24000504008002002,2169.388204,0,0
G24000504008002003,712.2890499,0,0
G24000504008002004,3506.759735,0,0
G24000504008002005,2155.332073,0,0
G24000504008002006,2497.454573,0,0
G24000504008002007,9511.562786,0,0
G24000504008002008,2241.474056,0,0
G24000504008002009,2444.060431,0,0
G24000504008002010,2879.280574,0,0
G24000504008002011,3197.884139,0,0
G24000504008002012,5236.182893,0,0
G24000504008002014,4047.12165,0,0
G24000504008002015,488.1227704,0,0
G24000504008002016,2991.522627,0,0
G24000504008002018,1371.286558,0,0
G24000504008002019,3280.512965,0,0
G24000504009001001,2507.021739,0,0
G24000504009001002,1455.514624,0,0
G24000504009001003,1479.463578,0,0
G24000504009001006,937.4360659,0,0
G24000504009001007,7191.267681,0,0
G24000504009001008,2192.300629,0,0
G24000504009001009,2505.751389,0,0
G24000504009001010,2002.56786,0,0
G24000504009001011,2132.106328,0,0
G24000504009001012,49590.71649,0,0
G24000504009001013,1907.300193,0,0
G24000504009001014,1821.966808,0,0
G24000504009001016,2172.619961,0,0
G24000504009001017,3562.492089,0,0
G24000504009001018,2451.163312,0,0
G24000504009001019,2453.90854,194.7822579,0.079376332
G24000504009001021,1766.43387,0,0
G24000504009001025,5125.352613,0,0
G24000504009001026,4507.627781,0,0
G24000504009001029,4287.389891,0,0
G24000504009001030,3057.934764,0,0
G24000504009001031,3081.487962,0,0
G24000504010001000,2410.147105,0,0
G24000504010001001,11643.79478,0,0
G24000504010001004,7611.294276,0,0
G24000504010001005,10762.92744,0,0
G24000504010001006,3187.037552,0,0
G24000504010001007,6053.011209,0,0
G24000504010001008,745.8555577,0,0
G24000504010001009,3355.430797,0,0
G24000504010001010,1744.077025,0,0
G24000504010001011,1747.012883,0,0
G24000504010001012,970.068329,0,0
G24000504010001013,3623.470827,0,0
G24000504010001014,2299.116766,0,0
G24000504010001015,5777.6921,0,0
G24000504010001016,731.1919788,0,0
G24000504010001017,4263.874195,0,0
G24000504010001018,755.397092,0,0
G24000504010001019,232.2950041,0,0
G24000504010001022,916.4523059,0,0
G24000504010001023,3305.553545,0,0
G24000504010002000,4399.177113,0,0
G24000504010002001,4612.181876,0,0
G24000504010002002,5076.938577,0,0
G24000504010002003,3820.697027,0,0
G24000504010002004,5346.075665,0,0
