         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/bytecode.py:49(_as_opcodes)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/old_builtins.py:226(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/parfor.py:1601(ParforPassStates)
        3    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_distribution_infrastructure.py:2461(_pdf_dispatch)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/old_mathdecl.py:114(Math_pow)
       21    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/accessors.py:176(<lambda>)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_core/numerictypes.py:368(_preprocess_dtype)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/computation/pytables.py:66(Term)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/core.py:3017(Char)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/joblib/memory.py:309(NotMemorizedFunc)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/module.py:117(functions)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/bytecode.py:66(ByteCodeInst)
       10    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:471(get_call_signature)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/integrate/_ivp/rk.py:74(RungeKutta)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/sysconfig.py:456(_get_sysconfigdata_name)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/_strptime.py:170(TimeRE)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/methods/selectn.py:43(SelectN)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:729(XAxis)
        9    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/codegen.py:620(enable_object_caching)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexers/utils.py:187(validate_indices)
        7    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/base.py:5507(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/formats/info.py:841(_TableBuilderVerboseMixin)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/PIL/PngImagePlugin.py:752(PngImageFile)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/colors.py:2445(CenteredNorm)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/requests/__init__.py:58(check_compatibility)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/mimetypes.py:64(MimeTypes)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/attr/_make.py:2802(Converter)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/joblib/externals/loky/reusable_executor.py:104(_ReusablePoolExecutor)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/yaml/__init__.py:362(YAMLObject)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/ufunc/decorators.py:34(Vectorize)
       23    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/special/_support_alternative_backends.py:35(name)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_kde.py:36(gaussian_kde)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/base.py:366(_get_common_dtype)
       50    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:1816(instructions)
       14    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/dateutil/_common.py:9(__init__)
       45    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/base.py:421(_supports_2d)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/core.py:3553(White)
        3    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/npytypes.py:629(__init__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/datamodel/old_models.py:364(__init__)
       50    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:1833(outgoing_phis)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_resampling.py:2261(BootstrapMethod)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_core/_internal.py:227(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/colorizer.py:325(_ColorizerInterface)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/gridspec.py:26(GridSpecBase)
        7    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/caching.py:172(get_disambiguator)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/ufunc/parallel.py:566(gen_snt_check)
       29    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/codegen.py:553(name)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/zoneinfo/_common.py:127(_TZifHeader)
        7    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/reshape/merge.py:815(_maybe_require_matching_dtypes)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/email/message.py:150(__init__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/descriptors.py:8(TargetDescriptor)
        9    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/inline_closurecall.py:132(<listcomp>)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/threading.py:1516(_register_atexit)
       12    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/core.py:5906(postParse)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/artist.py:87(_finalize_rasterization)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/builder.py:100(wrap)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/npyimpl.py:728(<listcomp>)
       22    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:369(<setcomp>)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/subprocess.py:126(CalledProcessError)
        4    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/timedeltas.py:81(_field_accessor)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1764(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/base.py:327(SingleDataManager)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/shared_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/backend_bases.py:3471(_Backend)
       24    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/patches.py:2347(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/axis.py:2593(YAxis)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/asyncio/trsock.py:4(TransportSocket)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/urllib3/util/proxy.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/multiprocessing/pool.py:734(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/multiprocessing/pool.py:745(ApplyResult)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/containers.py:139(BaseTuple)
       36    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:64(normal_handler)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/codegen.py:641(CPUCodeLibrary)
       17    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/array_analysis.py:547(<listcomp>)
        5    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/_config/config.py:225(__init__)
       50    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:1842(blockstack_initial)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/sql.py:924(SQLTable)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/adapters.py:628(RequestsHTTPWithSSLContextAdapter)
       31    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/context.py:147(init)
        6    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ir_utils.py:43(update)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/dateutil/tz/tz.py:874(tzrange)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/flags.py:10(Flags)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/window/rolling.py:2872(RollingGroupby)
        9    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/core.py:4246(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:737(YAxis)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:78(_SSLProtocolTransport)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/funcdesc.py:24(FunctionDescriptor)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/controlflow.py:257(exit_points)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:42(BlockKind)
        3    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:261(codegen)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_continuous_distns.py:1257(burr12_gen)
       25    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:1618(_constructor)
       11    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/accessor.py:216(__init__)
        4    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/blocks.py:199(_validate_ndim)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/old_builtins.py:970(generic)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/postproc.py:31(VariableLifetime)
        6    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:1898(get_tos)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/old_builtins.py:238(BinOpFloorDiv)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/config.py:93(ConfigParameters)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/io/csv/_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/real_estate_prices.py:33(run)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/linalg.py:126(_LAPACK)
       12    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/inspect.py:946(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/byteflow.py:971(op_RAISE_VARARGS)
        3    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/affine/__init__.py:59(cached_property)
        9    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/utils.py:357(__iter__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/mvn.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:1201(bound_function)
       41    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:149(pre_block)
        4    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/shapely/geos.py:243(<genexpr>)
        4    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/core.py:3536(parseImpl)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/reprlib.py:38(__init__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:1533(BaseMaskedDtype)
       10    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/importlib/metadata/__init__.py:322(_wrap_deprecated_method)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/ssl.py:845(SSLObject)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/PIL/PngImagePlugin.py:252(iTXt)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/asyncio/queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/geocoders/google.py:25(GoogleV3)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/yaml/resolver.py:12(BaseResolver)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/instructions.py:815(descr)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ir.py:358(Terminator)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/email/_policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/axis.py:482(Ticker)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ir.py:1265(Block)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/rcsetup.py:780(_validate_legend_loc)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/ops/missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/groupby/ops.py:953(BinGrouper)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/ticker.py:1140(LogitFormatter)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/adapters.py:130(BaseAdapter)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/joblib/compressor.py:157(__init__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/spatial/_procrustes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/datatypes/constants.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/packaging/version.py:78(__lt__)
        9    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/_util.py:949(_rename_parameter)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/common.py:942(_BufferedWriter)
       14    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1012(<genexpr>)
       11    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/tempfile.py:229(_get_candidate_names)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/joblib/_parallel_backends.py:272(SequentialBackend)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/multiprocessing/connection.py:364(Connection)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/abstract.py:375(ArrayCompatible)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ir.py:1344(verify)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/datamodel/old_models.py:1244(handle_bound_function)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/old_builtins.py:232(BinOpFloorDiv)
       21    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/constants/_codata.py:2121(_check_obsolete)
        2    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/results.py:441(__getattr__)
       24    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/datamodel/old_models.py:503(inner_models)
       33    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/dataclasses.py:842(_hash_set_none)
       10    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/dis.py:395(_parse_varint)
       20    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ir.py:264(__init__)
       28    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/common.py:199(<genexpr>)
        7    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/common.py:174(not_none)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/logging/__init__.py:1792(__init__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:516(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/numeric.py:234(NumericArray)
