         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/4    0.000    0.000    0.312    0.078 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typed_passes.py:105(run_pass)
     10/4    0.000    0.000    0.312    0.078 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
        1    0.000    0.000    0.311    0.311 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.311    0.311 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/__init__.py:1(<module>)
     10/4    0.000    0.000    0.308    0.077 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:1055(propagate)
     20/8    0.001    0.000    0.308    0.038 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:147(propagate)
        1    0.000    0.000    0.304    0.304 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/geocoders/__init__.py:1(<module>)
        1    0.000    0.000    0.299    0.299 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/sparse/__init__.py:1(<module>)
        1    0.000    0.000    0.298    0.298 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/ufunc/parallel.py:379(_launch_threads)
        1    0.000    0.000    0.297    0.297 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/ufunc/parallel.py:416(select_from_backends)
        3    0.000    0.000    0.297    0.099 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/ufunc/parallel.py:389(select_known_backend)
  224/174    0.001    0.000    0.295    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:568(resolve)
2689/2459    0.002    0.000    0.294    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:356(apply)
  246/194    0.000    0.000    0.293    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/context.py:188(resolve_function_type)
  224/174    0.000    0.000    0.292    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:1522(resolve_call)
  246/194    0.000    0.000    0.291    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/context.py:232(_resolve_user_function_type)
